title,url,price
2015 Honda Civic 1.8 FB (ปี 12-16) E i-VTEC Sedan,https://www.one2car.com/for-sale/honda-civic-e-i-vtec-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/11691141?auc=true,459000
2019 Honda Civic 1.5 FK (ปี 17-21) Turbo Hatchback,https://www.one2car.com/for-sale/honda-civic-turbo-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11741015?auc=true,869000
2019 Honda Civic 1.8 FC (ปี 16-20) EL i-VTEC Sedan,https://www.one2car.com/for-sale/honda-civic-el-i-vtec-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11747355?auc=true,689000
2017 Honda CR-V 1.6 (ปี 17-21) DT EL SUV - 4WD,https://www.one2car.com/for-sale/honda-cr-v-dt-el-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11029463,993900
2014 Honda Civic 1.8 FB (ปี 12-16) E i-VTEC Sedan,https://www.one2car.com/for-sale/honda-civic-e-i-vtec-กรุงเทพและปริมณฑล-มีนบุรี/11638880?auc=true,450000
2019 BMW 320d 2.0 F34 (ปี 13-16) Gran Turismo Sedan,https://www.one2car.com/for-sale/bmw-320d-gran-turismo-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/9574539,1550000
2016 Mitsubishi Pajero Sport 2.4 (ปี 15-18) GT SUV - AT,https://www.one2car.com/for-sale/mitsubishi-pajero-sport-gt-กรุงเทพและปริมณฑล-กาญจนาภิเษก/10050881?auc=true,739000
2016 Honda Mobilio 1.5 (ปี 14-17) V Wagon,https://www.one2car.com/for-sale/honda-mobilio-v-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/11693133,368000
2023 Toyota Majesty 2.8 (ปี 19-30) Premium Van,https://www.one2car.com/for-sale/toyota-majesty-premium-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11774883?auc=true,2159000
2014 Nissan Juke 1.6 (ปี 10-16) V SUV,https://www.one2car.com/for-sale/nissan-juke-v-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11775207?auc=true,359000
2019 Honda CR-V 2.4 (ปี 17-21) ES SUV - 4WD,https://www.one2car.com/for-sale/honda-cr-v-es-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11773917?auc=true,929000
2022 Toyota Alphard 2.5 (ปี 15-23) S C-Package Van,https://www.one2car.com/for-sale/toyota-alphard-s-c-package-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11774174?auc=true,3289000
2022 Nissan Note 1.2 (ปี 17-22) V Hatchback,https://www.one2car.com/for-sale/nissan-note-v-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11774321?auc=true,439000
2017 Toyota Corolla Altis 1.6 (ปี 14-18) G Sedan,https://www.one2car.com/for-sale/toyota-corolla-altis-g-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11774103?auc=true,389000
2017 Toyota Corolla Altis 1.6 (ปี 14-18) G Sedan,https://www.one2car.com/for-sale/toyota-corolla-altis-g-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11773714?auc=true,389000
2016 Mitsubishi Mirage 1.2 (ปี 12-18) GLS LTD Hatchback,https://www.one2car.com/for-sale/mitsubishi-mirage-gls-ltd-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11773866?auc=true,299000
2018 Mercedes-Benz CLA250 AMG 2.0 W117 (ปี 14-18) Dynamic Sedan,https://www.one2car.com/for-sale/mercedes-benz-cla250-amg-dynamic-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/11768230,1390000
2020 Honda City 1.0 (ปี 19-24) RS Sedan,https://www.one2car.com/for-sale/honda-city-rs-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11753904?auc=true,579000
2017 Mitsubishi Attrage 1.2 (ปี 13-18) GLX Sedan,https://www.one2car.com/for-sale/mitsubishi-attrage-glx-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11747371?auc=true,249000
2019 Honda Civic 1.5 FK (ปี 17-21) Turbo Hatchback,https://www.one2car.com/for-sale/honda-civic-turbo-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/11753238,759000
2016 Mitsubishi Triton 2.5 MEGA CAB (ปี 14-19) GL Pickup,https://www.one2car.com/for-sale/mitsubishi-triton-gl-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11747292?auc=true,349000
2017 Honda Civic 1.8 FC (ปี 16-20) EL i-VTEC Sedan,https://www.one2car.com/for-sale/honda-civic-el-i-vtec-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11747262?auc=true,639000
2014 Honda City 1.5 (ปี 08-14) V CNG Sedan,https://www.one2car.com/for-sale/honda-city-v-cng-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11741824?auc=true,279000
2022 Hyundai Creta 1.5 (ปี 22-28) SEL SUV,https://www.one2car.com/for-sale/hyundai-creta-sel-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11745192,725000
2013 Chevrolet Trailblazer 2.8 (ปี 12-16) LTZ SUV - 4WD,https://www.one2car.com/for-sale/chevrolet-trailblazer-ltz-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11741820?auc=true,449000
2015 Toyota Camry 2.5 (ปี 12-18) G Sedan,https://www.one2car.com/for-sale/toyota-camry-g-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11725426?auc=true,599900
