order_id,user_id,promo_id,address_id,created_at,order_cost,shipping_cost,order_total,tracking_id,shipping_service,estimated_delivery_at,delivered_at,status
8329a65b-7ddf-4250-aeee-bd625f8a401a,b3367c91-53bd-4aac-ab6d-0a596fe382c2,,d2fbe240-64ac-4feb-a360-8a9197f8b8ae,2021-02-11T23:30:34Z,551.9,5.16,557.06,1b2b3cff-dec1-47f6-a507-a64de9ddc663,ups,2021-02-12T23:30:34Z,2021-02-17T23:30:34Z,delivered
f3ab84e6-dec5-43b4-9aa7-45b9988bff58,5faf7aa9-ca1a-44b6-bc00-5954bc39cc91,,4a9bcc05-a07b-4507-9d42-a2325a4844fa,2021-02-11T15:13:09Z,121.0,2.72,123.72,02039212-f3fa-4bac-abf3-d2ea8365b837,usps,2021-02-16T15:13:09Z,2021-02-13T15:13:09Z,delivered
8385cfcd-2b3f-443a-a676-9756f7eb5404,96aa719e-c5a3-4645-ba89-16c304fb59b0,,1ceb9167-9852-45a7-8109-57b077d8a2e0,2021-02-11T02:19:17Z,205.5,1.44,206.94,,,,,preparing
55164b42-78d3-4c4e-9dd3-cce61b956403,aa2bd310-8be1-4b6c-a852-2789d8652ac7,,c8e06217-c625-471f-8cdc-88c3e39f6b2c,2021-02-11T23:35:14Z,45.0,8.07,53.07,23c92052-e262-45bf-86af-312cb12ac472,usps,2021-02-14T23:35:14Z,2021-02-15T23:35:14Z,delivered
e1ecd50e-033d-4d0c-bcff-137c2eb494dd,97fec509-ddfd-468b-8c39-ece964fdbcf1,,23f4d3fc-7192-44eb-a1c6-c3d93eed0a42,2021-02-11T07:08:04Z,150.0,3.18,153.18,5613e809-7492-416f-9b18-14d9371d2cb7,fedex,2021-02-16T07:08:04Z,,shipped
1747e0c2-2649-4b8b-8048-540425302a8f,e512189a-15a2-4325-b41d-6092f5c03bc9,,2c7bd191-c7c9-45d3-9dd0-612320bd9817,2021-02-10T10:35:38Z,562.9,6.11,569.01,fcf6a653-9018-4469-8b5f-4f0013accc40,ups,2021-02-13T10:35:38Z,2021-02-12T10:35:38Z,delivered
1eb77dda-3387-4242-ba28-0b371ea785cf,393de08c-725c-457a-a591-16030480eb80,,06dd400a-9d9e-48f3-9312-5a41f6038c8e,2021-02-10T15:22:56Z,373.85,3.23,377.08,6c36bdd9-d673-459b-932c-0a290b5a040c,fedex,2021-02-13T15:22:56Z,,shipped
529bcc4d-8fcc-42b5-b4c5-a0e2c8886686,f47ac0f5-2afa-4e71-8328-bd881947159b,,e6572a36-e4ae-4daa-8c05-692490c310a1,2021-02-10T07:33:27Z,82.0,6.37,88.37,063a7d43-ce96-4706-9be7-b92bea08910c,fedex,2021-02-11T07:33:27Z,2021-02-15T07:33:27Z,delivered
d0cc9fd6-0ce6-42a4-a77e-fabb1b0962da,7025daf6-54d9-44be-8282-7923def85169,instruction set,65ef7b5a-11db-4544-89a8-44e15f1a986f,2021-02-10T20:17:35Z,565.0,7.48,559.48,08880247-e7f5-4f27-afea-c2c78a285a08,ups,2021-02-12T20:17:35Z,2021-02-13T20:17:35Z,delivered
e24985f3-2fb3-456e-a1aa-aaf88f490d70,b9287f6c-c865-49bb-a3c9-da47bbdf3a90,,027e0a9d-2bb0-4247-8989-365339741a93,2021-02-11T10:11:14Z,256.25,7.94,264.19,,,,,preparing
96b4a784-2348-428c-bf1a-b1622c88d0d7,4136ab42-d31d-4f07-b3ef-6d63526b769b,,609af927-16f8-450a-ade4-1e06724e9feb,2021-02-11T14:47:12Z,121.9,7.71,129.61,12bc4385-869c-4533-8c05-47afbaec6e09,ups,2021-02-15T14:47:12Z,2021-02-13T14:47:12Z,delivered
5f078a73-bc4b-4231-9c91-144060234d49,c3a44de4-e6c8-4d02-93df-aff409356087,,d3dfe1e5-6826-49fe-9bfb-ef1022a20520,2021-02-10T15:11:37Z,206.0,4.85,210.85,e4f0bf93-4747-4e90-a3e3-fc3131895037,ups,2021-02-13T15:11:37Z,2021-02-13T15:11:37Z,delivered
