order,quantity,product
5e75b8f4-e03e-462f-8a91-027bfaf3e8b4,3,c7050c3b-a898-424d-8d98-ab0aaad7bef4
c615ea16-2b87-471c-a40e-f1a1b81df308,2,e18f33a6-b89a-4fbc-82ad-ccba5bb261cc
1747e0c2-2649-4b8b-8048-540425302a8f,2,80eda933-749d-4fc6-91d5-613d29eb126f
44f19d9b-6f8d-4c04-8c1e-ee05a171a48a,4,689fb64e-a4a2-45c5-b9f2-480c2155624d
906ac891-d7a7-4d50-b4c6-c982fae2fc2d,4,e18f33a6-b89a-4fbc-82ad-ccba5bb261cc
885ebd5d-6a82-4802-a241-2e52e223df5a,2,64d39754-03e4-4fa0-b1ea-5f4293315f67
05202733-0e17-4726-97c2-0520c024ab85,4,689fb64e-a4a2-45c5-b9f2-480c2155624d
97c51e08-8026-44cb-af4b-15f8011e4931,4,bb19d194-e1bd-4358-819e-cd1f1b401c0c
44f19d9b-6f8d-4c04-8c1e-ee05a171a48a,2,b66a7143-c18a-43bb-b5dc-06bb5d1d3160
55288bb6-9a28-483f-a005-ceef70079c72,1,615695d3-8ffd-4850-bcf7-944cf6d3685b
6abeb560-cfb9-4726-8d7d-612f3cd3763e,3,4cda01b9-62e2-46c5-830f-b7f262a58fb1
22767af6-bb3e-4d35-b11c-05c12aa38138,4,4cda01b9-62e2-46c5-830f-b7f262a58fb1
e42ba9a9-986a-4f00-8dd2-5cf8462c74ea,2,843b6553-dc6a-4fc4-bceb-02cd39af0168
906ac891-d7a7-4d50-b4c6-c982fae2fc2d,4,5ceddd13-cf00-481f-9285-8340ab95d06d
4187e4d5-0629-4725-8ff5-1e88bf584dc2,3,37e0062f-bd15-4c3e-b272-558a86d90598
fafde59f-fc4a-4d5f-865e-ff13c8ab6d06,4,e8b6528e-a830-4d03-a027-473b411c7f02
3321aeb4-f209-48bf-ba63-84f3a14eaa50,4,689fb64e-a4a2-45c5-b9f2-480c2155624d
c49ed1e6-c56b-4681-bef8-cf8d99404832,4,843b6553-dc6a-4fc4-bceb-02cd39af0168
224b19e0-eaef-4749-8ca7-72e9d99e07e8,2,e706ab70-b396-4d30-a6b2-a1ccf3625b52
