event_id,session_id,user_id,page_url,created_at,event_type,order_id,product_id
5c357e7e-2b8d-4a59-ae41-816f8e5f45d6,a646b9aa-0044-4fbd-8bae-a1018f5d4ace,b3367c91-53bd-4aac-ab6d-0a596fe382c2,https://greenery.com/checkout/8329a65b-7ddf-4250-aeee-bd625f8a401a,2021-02-11T23:30:33Z,checkout,8329a65b-7ddf-4250-aeee-bd625f8a401a,
3674eaa5-e3a4-4634-aa56-d85162ac36da,a646b9aa-0044-4fbd-8bae-a1018f5d4ace,b3367c91-53bd-4aac-ab6d-0a596fe382c2,https://greenery.com/shipping/8329a65b-7ddf-4250-aeee-bd625f8a401a,2021-02-12T02:30:34Z,package_shipped,8329a65b-7ddf-4250-aeee-bd625f8a401a,
444e7cb4-cca8-4441-ba7f-9c9a7f7de07d,a646b9aa-0044-4fbd-8bae-a1018f5d4ace,b3367c91-53bd-4aac-ab6d-0a596fe382c2,https://greenery.com/product/fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80,2021-02-11T23:29:53Z,add_to_cart,,fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80
acf5bc96-84ea-4bdc-b47e-f222f255506c,a646b9aa-0044-4fbd-8bae-a1018f5d4ace,b3367c91-53bd-4aac-ab6d-0a596fe382c2,https://greenery.com/product/fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80,2021-02-11T23:29:17Z,page_view,,fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80
09861aa5-bbce-4982-beaa-95d653075335,a646b9aa-0044-4fbd-8bae-a1018f5d4ace,b3367c91-53bd-4aac-ab6d-0a596fe382c2,https://greenery.com/product/74aeb414-e3dd-4e8a-beef-0fa45225214d,2021-02-11T23:29:00Z,add_to_cart,,74aeb414-e3dd-4e8a-beef-0fa45225214d
9b199c9d-f372-4a83-a27e-0b5cd6988614,a646b9aa-0044-4fbd-8bae-a1018f5d4ace,b3367c91-53bd-4aac-ab6d-0a596fe382c2,https://greenery.com/product/74aeb414-e3dd-4e8a-beef-0fa45225214d,2021-02-11T23:27:49Z,page_view,,74aeb414-e3dd-4e8a-beef-0fa45225214d
852d54b8-0577-4c00-8910-54c4154a10e3,a646b9aa-0044-4fbd-8bae-a1018f5d4ace,b3367c91-53bd-4aac-ab6d-0a596fe382c2,https://greenery.com/product/5b50b820-1d0a-4231-9422-75e7f6b0cecf,2021-02-11T23:27:18Z,add_to_cart,,5b50b820-1d0a-4231-9422-75e7f6b0cecf
78690a8b-76c8-479b-ad06-ba39641a4420,a646b9aa-0044-4fbd-8bae-a1018f5d4ace,b3367c91-53bd-4aac-ab6d-0a596fe382c2,https://greenery.com/product/5b50b820-1d0a-4231-9422-75e7f6b0cecf,2021-02-11T23:25:25Z,page_view,,5b50b820-1d0a-4231-9422-75e7f6b0cecf
bf9b5809-e0d8-415a-be60-e3379b942428,a646b9aa-0044-4fbd-8bae-a1018f5d4ace,b3367c91-53bd-4aac-ab6d-0a596fe382c2,https://greenery.com/product/55c6a062-5f4a-4a8b-a8e5-05ea5e6715a3,2021-02-11T23:24:59Z,add_to_cart,,55c6a062-5f4a-4a8b-a8e5-05ea5e6715a3
df17938e-c00d-4c2d-b6aa-4508bd617205,a646b9aa-0044-4fbd-8bae-a1018f5d4ace,b3367c91-53bd-4aac-ab6d-0a596fe382c2,https://greenery.com/product/55c6a062-5f4a-4a8b-a8e5-05ea5e6715a3,2021-02-11T23:24:22Z,page_view,,55c6a062-5f4a-4a8b-a8e5-05ea5e6715a3
1ba12f55-7281-45fa-8145-cee235423586,a646b9aa-0044-4fbd-8bae-a1018f5d4ace,b3367c91-53bd-4aac-ab6d-0a596fe382c2,https://greenery.com/product/579f4cd0-1f45-49d2-af55-9ab2b72c3b35,2021-02-11T23:23:46Z,add_to_cart,,579f4cd0-1f45-49d2-af55-9ab2b72c3b35
30e80ac9-b498-46b7-b786-0f05e689387f,a646b9aa-0044-4fbd-8bae-a1018f5d4ace,b3367c91-53bd-4aac-ab6d-0a596fe382c2,https://greenery.com/product/579f4cd0-1f45-49d2-af55-9ab2b72c3b35,2021-02-11T23:21:52Z,page_view,,579f4cd0-1f45-49d2-af55-9ab2b72c3b35
3c43489b-a55e-44cc-a30a-2648f25120e9,a646b9aa-0044-4fbd-8bae-a1018f5d4ace,b3367c91-53bd-4aac-ab6d-0a596fe382c2,https://greenery.com/product/a88a23ef-679c-4743-b151-dc7722040d8c,2021-02-11T23:28:36Z,page_view,,a88a23ef-679c-4743-b151-dc7722040d8c
97ea3a37-7eed-4adb-8454-4316de67e248,a646b9aa-0044-4fbd-8bae-a1018f5d4ace,b3367c91-53bd-4aac-ab6d-0a596fe382c2,https://greenery.com/product/c7050c3b-a898-424d-8d98-ab0aaad7bef4,2021-02-11T23:26:49Z,page_view,,c7050c3b-a898-424d-8d98-ab0aaad7bef4
