order_id,product_id,quantity
5e75b8f4-e03e-462f-8a91-027bfaf3e8b4,c7050c3b-a898-424d-8d98-ab0aaad7bef4,3
c615ea16-2b87-471c-a40e-f1a1b81df308,e18f33a6-b89a-4fbc-82ad-ccba5bb261cc,2
1747e0c2-2649-4b8b-8048-540425302a8f,80eda933-749d-4fc6-91d5-613d29eb126f,2
44f19d9b-6f8d-4c04-8c1e-ee05a171a48a,689fb64e-a4a2-45c5-b9f2-480c2155624d,4
906ac891-d7a7-4d50-b4c6-c982fae2fc2d,e18f33a6-b89a-4fbc-82ad-ccba5bb261cc,4
885ebd5d-6a82-4802-a241-2e52e223df5a,64d39754-03e4-4fa0-b1ea-5f4293315f67,2
05202733-0e17-4726-97c2-0520c024ab85,689fb64e-a4a2-45c5-b9f2-480c2155624d,4
97c51e08-8026-44cb-af4b-15f8011e4931,bb19d194-e1bd-4358-819e-cd1f1b401c0c,4
44f19d9b-6f8d-4c04-8c1e-ee05a171a48a,b66a7143-c18a-43bb-b5dc-06bb5d1d3160,2
55288bb6-9a28-483f-a005-ceef70079c72,615695d3-8ffd-4850-bcf7-944cf6d3685b,1
6abeb560-cfb9-4726-8d7d-612f3cd3763e,4cda01b9-62e2-46c5-830f-b7f262a58fb1,3
22767af6-bb3e-4d35-b11c-05c12aa38138,4cda01b9-62e2-46c5-830f-b7f262a58fb1,4
e42ba9a9-986a-4f00-8dd2-5cf8462c74ea,843b6553-dc6a-4fc4-bceb-02cd39af0168,2
906ac891-d7a7-4d50-b4c6-c982fae2fc2d,5ceddd13-cf00-481f-9285-8340ab95d06d,4
4187e4d5-0629-4725-8ff5-1e88bf584dc2,37e0062f-bd15-4c3e-b272-558a86d90598,3
fafde59f-fc4a-4d5f-865e-ff13c8ab6d06,e8b6528e-a830-4d03-a027-473b411c7f02,4
3321aeb4-f209-48bf-ba63-84f3a14eaa50,689fb64e-a4a2-45c5-b9f2-480c2155624d,4
c49ed1e6-c56b-4681-bef8-cf8d99404832,843b6553-dc6a-4fc4-bceb-02cd39af0168,4
224b19e0-eaef-4749-8ca7-72e9d99e07e8,e706ab70-b396-4d30-a6b2-a1ccf3625b52,2
e2510e94-b61f-4d8f-bf5f-7c13f609f272,6f3a3072-a24d-4d11-9cef-25b0b5f8a4af,3
0db4263a-5b43-488c-b9d8-9592c9f4d549,37e0062f-bd15-4c3e-b272-558a86d90598,4
0b43de27-5e08-4c20-a21d-44e786835265,c7050c3b-a898-424d-8d98-ab0aaad7bef4,3
e2c5c29c-2e3c-4e56-9db0-98f13c20b59d,55c6a062-5f4a-4a8b-a8e5-05ea5e6715a3,2
497e5ef8-5bf6-424c-9d05-f5a467c2d23a,b66a7143-c18a-43bb-b5dc-06bb5d1d3160,1
871d9861-ea19-47a1-950d-c3198128acef,b86ae24b-6f59-47e8-8adc-b17d88cbd367,1
191f7ddb-6fac-4ced-905c-307b6b8a1f29,689fb64e-a4a2-45c5-b9f2-480c2155624d,3
6b2a45d9-fe4f-4b4d-896d-54c08a71a80f,fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80,2
175d8fb5-2c45-45b5-9fe3-7b3987d05b2d,fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80,1
3ca15482-7645-4af2-bb53-7a853432a492,a88a23ef-679c-4743-b151-dc7722040d8c,4
da8cbe31-46f8-4b5c-806a-11ba9c40df9a,e18f33a6-b89a-4fbc-82ad-ccba5bb261cc,2
44f19d9b-6f8d-4c04-8c1e-ee05a171a48a,fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80,4
8329a65b-7ddf-4250-aeee-bd625f8a401a,fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80,4
e2b27601-37f6-413d-9377-ed9a3a8a5ac8,5b50b820-1d0a-4231-9422-75e7f6b0cecf,1
727e8c88-6cf8-497a-ae3c-3a781c5b70c3,5ceddd13-cf00-481f-9285-8340ab95d06d,4
8899a38e-2c99-46ea-adb4-526c3a1fac38,e2e78dfc-f25c-4fec-a002-8e280d61a2f2,2
3fb5a1fd-bf02-4ca0-bb26-4ff4c4a4af74,6f3a3072-a24d-4d11-9cef-25b0b5f8a4af,4
f684e5fd-154c-4b52-9b35-1ccc7e74190f,55c6a062-5f4a-4a8b-a8e5-05ea5e6715a3,4
19f1c3c5-3840-4d33-8d88-30fad93fa25e,55c6a062-5f4a-4a8b-a8e5-05ea5e6715a3,1
ac999da3-2fbb-40e8-94cc-30d61d765b07,bb19d194-e1bd-4358-819e-cd1f1b401c0c,1
