order_id,created_at,order_cost,shipping_cost,order_total,tracking_id,shipping_service,estimated_delivery_at,delivered_at,status,user,promo,address
1747e0c2-2649-4b8b-8048-540425302a8f,2021-02-10T10:35:38Z,562.9,6.11,569.01,fcf6a653-9018-4469-8b5f-4f0013accc40,ups,2021-02-13T10:35:38Z,2021-02-12T10:35:38Z,delivered,e512189a-15a2-4325-b41d-6092f5c03bc9,,2c7bd191-c7c9-45d3-9dd0-612320bd9817
1eb77dda-3387-4242-ba28-0b371ea785cf,2021-02-10T15:22:56Z,373.85,3.23,377.08,6c36bdd9-d673-459b-932c-0a290b5a040c,fedex,2021-02-13T15:22:56Z,,shipped,393de08c-725c-457a-a591-16030480eb80,,06dd400a-9d9e-48f3-9312-5a41f6038c8e
529bcc4d-8fcc-42b5-b4c5-a0e2c8886686,2021-02-10T07:33:27Z,82.0,6.37,88.37,063a7d43-ce96-4706-9be7-b92bea08910c,fedex,2021-02-11T07:33:27Z,2021-02-15T07:33:27Z,delivered,f47ac0f5-2afa-4e71-8328-bd881947159b,,e6572a36-e4ae-4daa-8c05-692490c310a1
d0cc9fd6-0ce6-42a4-a77e-fabb1b0962da,2021-02-10T20:17:35Z,565.0,7.48,559.48,08880247-e7f5-4f27-afea-c2c78a285a08,ups,2021-02-12T20:17:35Z,2021-02-13T20:17:35Z,delivered,7025daf6-54d9-44be-8282-7923def85169,instruction set,65ef7b5a-11db-4544-89a8-44e15f1a986f
5f078a73-bc4b-4231-9c91-144060234d49,2021-02-10T15:11:37Z,206.0,4.85,210.85,e4f0bf93-4747-4e90-a3e3-fc3131895037,ups,2021-02-13T15:11:37Z,2021-02-13T15:11:37Z,delivered,c3a44de4-e6c8-4d02-93df-aff409356087,,d3dfe1e5-6826-49fe-9bfb-ef1022a20520
2973c405-100e-4ece-af7f-077783132b3c,2021-02-10T04:30:24Z,254.0,7.63,261.63,bdff250d-3d01-49e9-a4cd-4ae18bed9cb5,dhl,2021-02-12T04:30:24Z,2021-02-11T04:30:24Z,delivered,60bc96e0-dcf5-438d-8e11-7ab3f6ac6e96,,299ec70d-f1e7-4807-9d0e-6fd86e3ebcab
01e059c6-9aee-4dfe-b5b5-8c403bb21a82,2021-02-10T12:51:19Z,45.75,9.72,38.47,b3dcd35d-2d18-4e48-b35f-57ddacbcb8d0,usps,2021-02-14T12:51:19Z,2021-02-11T12:51:19Z,delivered,db41a6d4-70fc-43b1-82a5-393b46a2bdfa,Optional,9285957a-e1fd-4205-960e-f739a9c7dfd2
40f5d51c-0a3c-481a-96e8-0784818e082d,2021-02-10T17:47:04Z,191.75,5.31,197.06,9a9f20cc-e4f1-46d8-8fb3-96afc46d1824,fedex,2021-02-12T17:47:04Z,2021-02-11T17:47:04Z,delivered,6b116938-3785-4983-a5d7-33f6af32f0ba,,18e90fce-7517-42c3-bd20-7028608da7df
a11ec73d-efcb-4918-be37-fa6f812d22de,2021-02-10T19:10:46Z,726.75,7.28,734.03,6904e80a-7ac3-47c9-80ae-79f1e0e7401f,ups,2021-02-15T19:10:46Z,2021-02-16T19:10:46Z,delivered,96aa719e-c5a3-4645-ba89-16c304fb59b0,,bc355137-f7dd-4461-83d3-f288994d450a
0ec01f36-fc49-456b-8ca5-7a7d5ea50df5,2021-02-10T06:45:40Z,45.5,8.89,54.39,732d71e6-3811-4867-a00f-2058c0d148cd,ups,,2021-02-11T06:45:40Z,delivered,c42fc8e5-9ab6-4fbf-84bf-40ff309bf24c,,d0042646-63e0-434e-874c-aec1d434f2df
bb219a8e-f747-4cc5-ac19-9f505baed9ff,2021-02-10T06:06:56Z,358.0,4.73,362.73,859c2d79-309b-4fc5-8133-78a0b2787950,ups,2021-02-12T06:06:56Z,2021-02-13T06:06:56Z,delivered,6b116938-3785-4983-a5d7-33f6af32f0ba,,6b49d7c6-6ede-4a8a-ade1-ec5888c7ce14
